id,Number,Value,Part_of_Speech,Gloss,Notes,Changed
32,32,adoru,adj,naked," 
",2007-02-26
33,33,agi,v,lick," 
",2012-08-27
34,34,"agi-ac’",v,lick.up," 
",2012-08-27
35,35,"agił",v,wear.out,"Not in the Dictionary! (Arsen: ""iznosit'sja"" / translation: ""iznoshennaja"" [participle])
",2014-06-25
36,36,"aɣ-ač’iw",adj,hole-ridden,"Not in the Dictionary!",2009-08-31
37,37,"aɣi",n3,bird," 
",2012-08-27
38,38,"aɣˤi",adj,open,"Not in the Dictionary! (not too sure either)",2014-05-20
39,39,"ˤaɣˤi",v,open,transitive?,2013-08-18
40,40,"aɣi-č’iqˤe",n,birds.and.insects,"Not in the Dictionary! (Arsen: ""ptica-nasekomoe"")",2014-06-25
41,41,"aɣiw",adj,"perforated; hollow"," 
",2009-09-20
42,42,"aɣˤni",n4,cowshed,"Dict.: ""3aghna""",2006-11-11
43,43,"-aɣor",nsuf,IN.VERS,"Can also be used after ""igo"" (""igaghor"") = near > closer (see Widow.071).
",2014-06-25
44,44,"aɣˤu",v,be.full," 
",2007-12-06
45,45,"aɣˤu",n2,mill,"Dict.: ""3aghu / 3`aghur""",2013-08-04
46,46,"aɣˤu-ic’",v,eat.until.one.is.full,"Not in the Dictionary! Lit.: ""swell+fill.up""",2014-05-20
47,47,"aɣˤur",n2,wheel,"Dict.: ""3aghu/3`aghur"" and has different OBL forms",2014-06-25
48,48,ahli,n3,people,"Dict.: ""ahlu"" (without OBL form)",2013-08-04
49,49,"aħ",v,lay," 
",2010-01-14
50,50,"aħi",n3,alarm," 
",2012-08-06
51,51,"aħi",v,cook,"intransitive (what the meal does); the transitive verb is with a CAUS suffix (""ahhir-"")
",2014-06-25
52,52,"aħi-aħi",v,cook.thoroughly,"Not in the Dictionary! (Arsen: ""nedovarennyj"", which is the meaning with the negation)
",2014-06-25
53,53,"aħi-ħur","n4; n3","rumor; hubbub","Not in the Dictionary! Russian: ""shum""; also means ""gossip"" or ""rumor"" (slux). Sometimes class III, sometimes class IV!
",2014-06-25
54,54,"aħin",n3,rock,"might be class II (see Prince_and_Princess.029)",2014-05-20
55,55,"Aħmad",n1,Akhmed,"male name",2009-12-01
56,56,"aħnad",v,walk.around,"Not in the dictionary!",2010-08-11
57,57,"aħna-ik’i",v,walk.for.a.while,"Dict.: ""behhna-bik'a""",2013-12-01
58,58,"aħo",n1,shepherd,"Dict.: ""ahh`o""; Dict. doesn't have OBL form in ""ahhozi-""",2014-06-25
59,59,"aħołi",n4,"shepherd's.profession","Dict.: ""ahh`olhi""; and no form ""ahholhun""",2014-05-20
60,60,"aħugon",adv,again," 
",2007-12-06
61,61,"aħya",n4,ear," 
",2013-11-10
62,62,aka,n3,"hook; ring","Dict. doesn't have OBL in ""akam-"" (and also the meaning 'hook' is missing there).
",2014-06-25
63,63,akbar,n4,call.for.prayer," 
",2007-04-09
64,64,aki,n4,window,"Out of the window = ""akäza"" (window-IN.VERS.DIST)",2014-06-25
65,65,"akik’",v,tire,"German 'jmd. ermueden' (tr.)",2013-08-04
66,66,"akił",v,get.tired,"No class prefix slot!",2013-10-26
67,67,"akiłäsi",adj,tired," 
",2007-07-06
68,68,aki-ma,n4,windows.and.doors,"Not in the Dictionary! (Arsen: ""okno-rama"", translation: ""okna-dveri"")",2014-06-25
69,69,aki-mada,n,yard,"Not in the Dictionary! (Arsen/Lit.: ""window-door""); might have to be plural for this meaning
",2014-06-25
70,70,akri,n4,cheese," 
",2009-09-28
71,71,aku-bizo,n4,construction.tools," 
",2009-09-30
72,72,Alay-bulay,n3,Alay-bulay,"name of a horse",2013-10-05
73,73,-ali,vsuf,ATTR,"Attributive form, only found in ""yolhalini"" (N-having N), ""ric'alini"" (N-filled N), ""zowali"" (been N), ""etali"" (='lover'), ""yicali"" (N-tied N),
 ""erali"" (N-put N); glossing by Arsen
",2014-06-25
74,74,"Alimaħama",n1,Alimagomed,"male name",2014-01-29
75,75,Allah,n1,God," 
",2006-09-15
76,76,"aluk’a",adj,white," 
",2007-06-18
77,77,"alžan",n3,paradise,"Not in the Dictionary!",2009-09-29
78,78,"ˤał",v,strike,"Not in the Dictionary! (Arsen: ""udarit'"")",2014-05-20
79,79,"ałni",n3,hug,"Dict.: ""alhu""; ""alhni bic'a"" = 'to hug'",2013-08-04
80,80,"ałni-meč’o",n3,hug,"Not in the Dictionary! (Arsen: ""obnimka-sheja"", translation: ""obnimali"" [with verb]), used with ""-ic'-"" as verb and the recipient
 receives the POSS.ESS
",2014-06-25
81,81,"ałno",n3,embrace,"Dict.: ""alhni"" / ""alhu""",2010-02-17
82,82,"ału",n3,skirt," 
",2013-07-24
83,83,"ˤaƛi",v,sweep.with," 
",2009-02-09
84,84,"ˤaƛo",adv,quickly," 
",2013-10-15
85,85,"ˤaƛod",v,harness,"Dict. has only the meaning 'to patch (up)' (see under ""b`atlha""); Arsen's glossing is ""osedlat'"" and translation is ""zaprjagat'"".
",2014-06-25
86,86,"ˤaƛo-k’ič’ad",v,saddle," 
",2009-12-20
87,87,"aƛ’i",v,"scold; talk","Dict.: 'talk, speak, chat, gossip'; maybe the combination ""hhalalh -atlh'i-"" ('tell among trouble') means 'scold'>?; talk to = with
 POSS.LAT
",2014-06-25
88,88,"aƛ’i-ɣʷaƛ’i",v,scold,"Not in the Dictionary! (rugat', otrugat'); intransitive probably, because the direct object is marked with the POSS.LAT case
",2014-06-25
89,89,"aƛ’ir",v,cheat," 
",2009-08-21
90,90,"ˤaƛ’u",v,fall," 
",2013-09-27
91,91,amanat,n3,order,"in the sense of ""Befehl""; to give an order = ""amanat boda""",2014-06-25
92,92,"Amirħanza",n1,Amirhanza,"personal name",2009-08-24
93,93,amma,conj,but," 
",2006-09-20
94,94,amru,n3,command," 
",2007-04-10
95,95,-an,vsuf,FUT.DEF,"EXP = expectative mood (""naklonenie namerenija"")",2014-06-25
96,96,-an,vsuf,FUT.CVB,"also called ""Expectative"" by Arsen, which I think is a valid term. Often means ""so that..."".
",2014-06-25
97,97,-ani,deriv,MSD,"nominalizer for verbs",2013-08-20
98,98,"anƛ’",n4,week,"Dict.: ""antlh'i"" (Mokok=antlh')",2013-08-04
99,99,"anƛ’i",n4,week," 
",2009-01-25
100,100,anna,n2,knee,"Dict.: = ""hollow of the knee"" [Kniekehle]",2014-05-20
101,101,anu,v,be.NEG," 
",2010-07-30
102,102,anu,v,be.absent," 
",2008-11-09
103,103,-anu,vsuf,NEG," 
",2010-07-30
104,104,"aparak’",n1,"newcomer; stranger"," 
",2008-08-20
105,105,"ˤaqi",v,"show up; accumulate","Dictionary says it's intransitive, in the texts it's vt.",2014-06-25
106,106,aqiw,adj,female," 
",2009-05-10
107,107,aqoni,n3,one.year.old.lamb," 
",2010-05-31
108,108,"aqˤu",n4,urine,"Dict.: ""3`aquro"" (?!?!)",2006-11-15
109,109,"aqˤu",v,sew," 
",2014-02-18
110,110,"aq’ˤi-igek’",v,grow.up,"Not in the Dictionary! (""vyrasti"")",2013-08-04
111,111,"aq’ˤik’",v,increase,"Dict.: ""b`aq'uk'a""",2009-04-28
112,112,"aq’ˤił",v,"grow.up; increase","Dict.: ""b`aq'ilha""",2014-02-02
113,113,"aq’iw",adj,"strange; foreign","No agreement prefix!",2008-08-26
114,114,"aq’ˤu","adj; adv","much; many","Dict.: ""b`aq'u""  ""rigu raq'`u esi-"" = to beg",2014-05-20
115,115,"aq’ˤuba",n3,torture," 
",2008-08-26
116,116,"aq’ˤuł",v,"pounce.on; sit; cover","Dict.: ""b`aq'ulha""",2014-04-07
117,117,-ar,nsuf,IN.LAT,"after temporal words like ""now"" it can mean 'until now' (howzhär)",2014-06-25
118,118,ara,n4,branch,"Dict. doesn't have OBL in ""ari-""; not sure if ""ara"" is the ABS form in this dialect either
",2014-06-25
119,119,"araq’i",n3,vodka,"Dict. has meaning ""hazel"" only!",2013-08-04
120,120,Arsen,n1,Arsen," 
",2007-07-31
121,121,as,n4,"sky; fog","Dict. doesn't have OBL form in ""aso-""; ""asoq -iti-"" (touch the sky) = to be in 7th heaven
",2014-06-25
122,122,-as,vsuf,FUT2,"Future 2, whatever that means... in Oku.027 it appears in a conditional clause; maybe it's a iussive or optative (Russian: ""pust"""")?
",2014-06-25
123,123,asad,v,measure," 
",2014-01-05
124,124,asad,v,measure,"Seems this can also mean ""to hit"", see Rabbit.096",2014-06-25
125,125,Asaq,n,Asakh,"Name of a place.",2014-06-03
126,126,Asaqobi,n1pl,Asakh.people,"people from Asakh, a Tsez village",2013-08-04
127,127,-asi,vsuf,RES.PRT,"which/who... (like rel. pron.); in combination with ""yolh"" it's like a perfect tense (see Prince_and_Princess.065).
",2014-06-25
128,128,askar,n3,army," 
",2009-05-10
129,129,assalama,interj,the.peace...,"Dict: ""asalamu3aleykum"" (part of the muslim greeting)",2014-06-25
130,130,assalamu,interj,peace...,"Dict.: ""asalamu3aleykum"" (part of the muslim greeting)",2014-06-25
131,131,"ašił",v,grow,"Not in the Dictionary! (Arsen: ""uvelichit'sja"", translation: ""pojavit'sja"")",2014-06-25
132,132,"ašu",n3,"waist; belt","Dict.: ""ashuni""(?)",2009-08-25
133,133,"ašuni",n3,"rainbow; belt"," 
",2009-07-31
134,134,at,v,light,"Not in the Dictionary! (means 'to light a fire', transitive, Russian: ""zazhigat'""); no noun class agreement!
",2014-06-25
135,135,at,v,touch.with,"Not in the Dictionary! Arsen: ""trogat'"" (direct object is usually 'hand')",2014-06-25
136,136,"at’",n4,"dough; wheat"," 
",2007-05-31
137,137,"at’ik’",v,moisten,"No agreement!",2007-06-04
138,138,"at’ił",v,become.wet," 
",2007-02-26
139,139,"at’iw",adj,wet,"No agreement!",2007-04-02
140,140,aw,n3,mouse," 
",2009-08-07
141,141,"awadanłi",n,joy," 
",2010-07-18
142,142,awal,n3,house," 
",2009-12-11
143,143,awarag,n1,prophet,"Not in the Dictionary!",2007-06-08
144,144,ax,n4,"belly; pot","Dict. only has the meaning ""belly""; but it seems to mean ""pot"" (Kochtopf) as well (see Sheikh.052); ""ax roda"" = to fill one's tummy
 = to eat
",2014-06-25
145,145,axorekasi,n4,giblets,"Dict.: ""axo-rekasi"" (Eingeweide)",2013-08-04
146,146,axu,n2,drop,"Dictionary has it as gender III.",2013-08-17
147,147,ay,v,come," 
",2012-08-13
148,148,ay,v,must,"""-ay- anu"" = must not (in the sense of 'should not')",2014-06-25
149,149,ay,interj,no," 
",2009-12-18
150,150,-ay,nsuf,IN.ABL," 
",2010-06-21
151,151,ayr,v,"lead; bring; call","CAUS of ""ay"" (come); meaning ""call"" is not in the dictionary (Stick.031 + Testament.075)
",2014-06-25
152,152,ay-tex,v,"settle; spread","Dict.: ""bay-tixa""",2010-06-21
153,153,-az,nsuf,IN.ESS.DIST," 
",2007-03-14
154,154,-aza,nsuf,IN.VERS.DIST," 
",2006-11-13
155,155,-azar,nsuf,IN.LAT.DIST," 
",2007-03-14
156,156,-azay,nsuf,IN.ABL.DIST," 
",2008-10-10
157,157,azbar,n3,palace," 
",2007-02-26
158,158,azirod,v,freeze.to.death,"Dict.: ""azira-""",2010-01-25
159,159,-azo,vsuf,RES.PRT.OBL,"oblique resultative participle (""which/who was/is ...-ing"")",2014-06-25
160,160,azu,n3,harvest," 
",2008-04-22
161,161,"aždaħ",n3,dragon,"Not in the Dictionary! (Persian)",2013-08-04
162,162,"aždaħ-bikori",n3,dragon-snake,"Not in the dictionary! (of course not)",2013-08-04
163,163,"ažo",n2,tree,"Dict.: ""azhu""",2007-12-06
164,164,"ažru",n,recompense,"Not in the Dictionary!",2008-08-20
165,165,"äƛiru",num,ORD,"ordinal suffix",2014-03-11
166,166,"-äƛiru",num,ORD," 
",2007-04-06
167,167,"äƛizaquł",adv,on.the.#th.day," 
",2007-07-06
168,168,"äy",v,know.FUTIND," 
",2006-11-13
169,169,b-,pref,"III; I.PL"," 
",2014-01-24
170,170,baba,n1,daddy,"Not in the Dictionary!",2009-02-11
171,171,babiw,n1,father," 
",2012-08-13
172,172,"babiw-uži",n1.pl,father.and.son,"Not in the Dictionary!",2008-11-02
173,173,"bac’ad",comp,clean," 
",2009-03-16
174,174,"bac’adaw",adj,clean," 
",2009-06-02
175,175,"Bac’ali",n1,Batsali,"male name",2009-11-03
176,176,"bac’ałi",n4,cleanness,"Not in the Dictionary!",2010-05-02
177,177,"bac’c’adaw",adj,clean,"Dict. only has ""bac'adaw"".",2013-09-20
178,178,"baɣ",n4,garden," 
",2014-05-13
179,179,"baɣm",n4,garden.OBL," 
",2014-05-13
180,180,baha,n3,price," 
",2009-03-30
181,181,bahadur,n1,hero," 
",2010-02-04
182,182,bahana,n3,excuse," 
",2007-02-27
183,183,"baħaraw",n1,"fiancé","can also mean groom",2013-10-09
184,184,"baħaray",n2,"fiancée","can also mean bride",2013-10-05
185,185,"baħarči",n1,brave.young.man," 
",2007-07-06
186,186,"baħarčiłi",n4,braveness," 
",2006-12-13
187,187,"baħarčiyaw",adj,brave," 
",2006-12-13
188,188,"baħri",n3,hound," 
",2009-09-28
189,189,"bak’arizi",comp,gathering,"Dict.: ""bak'arzi""",2010-01-27
190,190,"bak’i",n3,enclosure," 
",2008-11-06
191,191,balah,n3,misfortune,"Dict. has OBL in ""balahyo-""",2013-08-04
192,192,"balšuk’",n1,Bolshevik,"Not in the Dictionary!",2008-08-26
193,193,"baluɣłi",n4,maturity," 
",2010-08-11
194,194,"bˤałay",n4,dagger,"Dict.: ""belhay""",2013-10-05
195,195,"bałgo",adv,secretly," 
",2007-05-15
196,196,"bałgołi",n4,secret," 
",2007-05-15
197,197,banka,n3,jar,"Dict.: ""bank'a""",2010-03-08
198,198,"baraxšizi",comp,pity,"Dict.: baraxshi (boda); used with -oq- (itr.), object marked with POSS.ESS (-q(o)).
",2014-06-25
199,199,barkala,n3,thank," 
",2007-03-28
200,200,barkataw,adj,blessed,"Dict.: ""barakataw"" (has only 'abundant, rich, etc.' as translation)",2014-06-25
201,201,baru,n2,wife," 
",2009-07-31
202,202,"barułi",n3,wifehood," 
",2008-05-20
203,203,baru-xexbi,n2pl,wife.and.children," 
",2010-02-16
204,204,"baša",n3,finger," 
",2008-08-22
205,205,"bašałi",n4,equality,"Not in the Dictionary! (Arsen: ""ravenstvo"")",2014-05-20
206,206,"bašiq",n4,"ring; collar; adam's.apple","Dict.: ""bashiqow/bashiqoy""",2013-08-04
207,207,"bašiqˤoy",n4,ring," 
",2008-05-15
208,208,"bašir",n4,fireplace," 
",2009-10-01
209,209,"bašla",comp,begin," 
",2009-04-17
210,210,"bat’a",n3,seperation,"from = -POSS.ABL",2010-05-31
211,211,"bat’-bat’iyaw",adj,"different; various"," 
",2010-05-03
212,212,"bat’-bat’yaw",adj,various," 
",2008-10-07
213,213,"bat’iyaw",adj,other," 
",2010-06-21
214,214,bax,n3,success," 
",2013-08-09
215,215,Baxumesedo,n1,Bakhumesed," 
",2008-08-26
216,216,bayan,n3,"specification; definition; information","Not in the Dictionary! Rus.: ""utochnenie, svedenie""",2014-06-25
217,217,baybik,comp,begin,"Dict.: ""baybiki""; not clear what part of speech this is; used with the infinitive; might it be n3?
",2014-06-25
218,218,baydan,n2,"plain; field","Not in the dictionary! Russ. translation: ""pole""",2014-05-20
219,219,bazar,n4,bazar," 
",2006-12-18
220,220,bazargan,n1,merchant," 
",2009-04-25
221,221,"bažari",n3,skill," 
",2007-03-19
222,222,"bažari-hunar",n3,skill.and.talent,"Not in the Dictionary! (Arsen: sposobnost'-talant)",2014-05-20
223,223,"bažarizi",comp,able,"Dict.: ""bazharzi"" (Arsen: sumet')",2013-10-09
224,224,becaw,adj,blind," 
",2009-05-26
225,225,becono,adj,blind," 
",2006-11-13
226,226,"bečed",n1,"god; wealthy.man"," 
",2010-05-17
227,227,"bečedaw",adj,wealthy," 
",2012-08-06
228,228,"bečełi",n4,riches," 
",2009-09-07
229,229,"bečni",n2,knee," 
",2007-03-13
230,230,"bečni",n2,knee," 
",2007-06-08
231,231,"beɣula",adv,maybe," 
",2006-11-17
232,232,behila,adv,perhaps," 
",2008-10-07
233,233,behizi,comp,permit,"Not in the dictionary!",2009-05-29
234,234,"bˤeli",n3,poplar,"Dict.: b`ali",2014-02-09
235,235,"bełi",n3,"deer; hunting; wild.goat","Dictionary has only the ""deer/wild goat"" meaning. A more general translation might be ""game"".
",2014-06-25
236,236,"bełiqan",n1,hunter," 
",2009-08-26
237,237,"bełiqu",n1,hunter,"Dict.: ""belhiqan""",2009-01-21
238,238,"bˤeƛo",n3,pig," 
",2007-12-05
239,239,"bˤeƛ’",n3pl,sheep,"Dict. has class III. Singular or plural (both, perhaps even a mass noun); one single sheep is either b`etlh'es shebin (sheep's thing) or
 b`etlh'q'`u (sheep); but perhaps this should be class IV, because see
 Egg.008: ""zha b`etlh'"" (this sheep[s]; singular agreement!)
",2014-06-25
240,240,"bˤeƛ’-posu",n4,sheep.and.cattle,"Not in the Dictionary!",2012-08-06
241,241,"bˤeƛ’q’ˤu",n3,sheep,"Dict.: ""b`etlh'ghu"", Mok.: ""betlh'q'`u""",2013-08-04
242,242,bercinaw,adj,beautiful," 
",2007-03-28
243,243,bercingo,"adj; adv","good; well"," 
",2009-02-17
244,244,"bercinłi",n4,beauty," 
",2007-04-10
245,245,bero,n3,ice," 
",2013-09-10
246,246,berten,n3,marriage,"Dict.: ""bertin""",2007-07-02
247,247,"best’al","adj; n1; n2","orphan; step","Dict. lists it as n1/n2, but it often behaves like an attributive adjective. I say it can be both.
",2014-06-25
248,248,"best’alaw",adj,"step; orphan"," 
",2010-07-30
249,249,"best’alłi",n4,orphanhood," 
",2009-01-21
250,250,besuro,n3,fish," 
",2014-03-02
251,251,besuroqu,n1,fisherman," 
",2014-03-02
252,252,"bet’erbaqi",n3,life," 
",2009-01-21
253,253,"bet’erhan",n1,master," 
",2006-11-27
254,254,bexora,adj,lengthy," 
",2006-10-24
255,255,beyni,n3,work," 
",2007-04-06
256,256,-bi,nsuf,PL," 
",2014-01-24
257,257,"bič’zi",comp,"understand; explain","""bich'zi boqa"" = to understand; ""bich'zi boda"" = to explain (to = ""-POSS.ESS"")
",2014-06-25
258,258,bihayaw,adj,easy," 
",2009-09-20
259,259,bihizi,n3,???,"Not in the dictionary! (neither Avar nor Tsez)... = 'to stop'?",2014-06-25
260,260,bik,n3,hide,"Dict. doesn't have OBL form in -yo-.",2014-02-18
261,261,bikori,n3,snake," 
",2007-06-26
262,262,billahi,excl,by.God,"""la hhawla wala q'uwata illa billahi"" = 'there is no change and no power except by Allah'
",2014-06-25
263,263,"Bilq’isdi",n2,Bilqisdi,"female name",2013-11-20
264,264,"biƛira",num,eight.OBL," 
",2013-10-05
265,265,"biƛno",num,eight," 
",2009-02-02
266,266,"biƛ-oc’ino",num,eight.to.ten,"Not in the Dictionary!",2009-09-30
267,267,"biƛ-oč’ino",num,eight.to.nine," 
",2014-02-09
268,268,"biƛ-oč’ira",num,eight.to.nine.OBL," 
",2014-02-09
269,269,"biƛu",n,belly,"Not in the Dictionary!",2009-05-26
270,270,"biƛ’zi",comp,share," 
",2012-08-08
271,271,"birus-reƛ’u",n4,plow.and.yoke,"Not in the Dictionary! (Arsen: plug-jarmo)",2014-05-20
272,272,bismillah,n3,beginning.of.prayer," 
",2007-06-08
273,273,"bišʷa",n4,food,"Dict.: ""bisha""",2009-08-26
274,274,"bišad",n4,food,"Not in the Dictionary! (also: ""bishod"", it seems)",2014-05-20
275,275,"biša-ħaƛa",n4,eating.and.drinking,"Dict.: ""bish-hhatlhu""",2009-12-19
276,276,"bišo-bišom",num,hundreds,"Not in the Dictionary! Not sure about exact translation...",2014-06-25
277,277,"bišod",n4,food,"Not in the dictionary! Unsure, maybe different ending...",2014-06-25
278,278,"bišom",num,hundred," 
",2010-06-08
279,279,bita,n,distance,"Dict.: ""bitay""",2014-05-13
280,280,bitasi,adj,next," 
",2006-11-06
281,281,bit-nit,adv,everywhere,"Not in the Dictionary! Form unsure, maybe this only exists with endings...
",2014-06-25
282,282,bit-nitor,adv,"everywhere; around"," 
",2008-08-22
283,283,bitor,"adv; post","thither; because.of","rather means ""further""; meaning ""because of"" for the first time in Father_and_sons.077 with SUB.ABL!
",2014-06-25
284,284,bitox,v,move,"Dict. has different meaning (move away etc.), but see Razhbadin.134; itr. (towards = APUD.VERS, for example)
",2014-06-25
285,285,"bit’araw",adj,true," 
",2008-04-28
286,286,"bit’un",adv,truely,"Arsen writes: ""verno-OBR DEJ""",2013-08-04
287,287,"bit’zi",comp,be.straight,"Dict.: ""bit'izi""",2009-12-19
288,288,bix,n4,"grass; hay"," 
",2008-09-16
289,289,bixzi,comp,angry," 
",2010-06-18
290,290,bizo,n3,pick,"= Spitzhacke",2009-09-30
291,291,"bižaraw",adj,???,"Not in the Dictionary! (Arsen: ""rodit'"" [gebären?!]), see Daughter.003
",2014-06-25
292,292,boboru,adj,hot," 
",2009-09-30
293,293,"boc’a",n3pl,wolf.PL," 
",2009-06-28
294,294,"boc’i",n3,wolf," 
",2007-03-28
295,295,"boc’oqu",n4,trap,"Dict.: ""boc'aqu""; Dict. doesn't have OBL in ""boc'oqa-""",2014-06-25
296,296,bog,n3,meal,"Dict. has no distinct oblique form.",2013-08-04
297,297,bogol,n3,night," 
",2007-12-05
298,298,"boħt’or",n,stone,"Not in the Dictionary! (Arsen: kamen')",2014-05-14
299,299,boko,n3,fur.coat," 
",2007-02-09
300,300,"bolžal",n,period,"Not in the dictionary!",2006-12-19
301,301,"boƛik’u","n; adj",half," 
",2010-07-03
302,302,"boƛƛ’o","adv; post","middle; between","Dict.: ""botlho; mok.: botlhtlho""  between: + CONT.ESS",2014-06-25
303,303,"boƛ’araw",adj,any," 
",2009-11-12
304,304,"bˤoƛ’i",n3,larder,"Dict. doesn't have OBL form in ""b`otlh'imo-""; dt.: ""Vorratskammer""",2014-06-25
305,305,"boržizi",comp,fly,"Not in the dictionary!",2010-06-11
306,306,"božaraw",adj,reliable," 
",2010-02-24
307,307,buci,n3,"month; moon","Dict.: ""buci""; ""(neshiru) becitlh'"" = '(at night) by moonlight'",2014-06-25
308,308,budala,n,budalay,"a supernatural being that quietly takes a baby from a pregnant woman's belly, seems to be in the plural mostly
",2014-06-25
309,309,budum,n1,muezzin,"Dict.: ""budun""",2007-04-09
310,310,"buɣa",n3,stock.bull," 
",2010-08-07
311,311,buhtan,n,slander,"Not in the Dictionary! (Arsen: kleveta)",2014-05-14
312,312,"buħi",n3,heat," 
",2009-02-18
313,313,"bˤula",n3,hoof," 
",2006-11-27
314,314,"bˤula",n3,hoof,"Dict. doesn't have OBL in -m-.",2013-08-04
315,315,"bˤuƛ’i",n3,beak," 
",2007-04-06
316,316,buq,n3,sun,"""beqä mi yäs!"" = the sun will take you (i.e., 'you will get a sunstroke')
",2014-06-25
317,317,buqbeta,n3,sunset," 
",2008-04-28
318,318,busurmanaw,adj,Muslim," 
",2010-07-18
319,319,butni,n3,burka," 
",2007-01-08
320,320,"but’a",n3,part," 
",2009-09-10
321,321,"buži",n,hope,"Not in the Dictionary!",2009-03-18
322,322,"bužzi",comp,"trust; believe; convince","Dict.: ""buzhizi"" (whom = +SUPER.ESS); trust/believe with ""boqa"", convince with ""bodi"" (...of with ""-tlhin"")
",2014-06-25
323,323,"caƛi",v,"throw; stick; shoot.with; draw; sting","stick into = with CONT.ESS; transitive (instrument = dir.obj.); sting with GEN1; target marked with GEN2 (see Crow.026) or
 GEN1 (see Uneyzat.087); both in one sentence: Fox.010, can also
 mean 'spit'
",2014-06-25
324,324,"caƛi-ok’",v,scatter," 
",2012-08-09
325,325,cax,v,write," 
",2007-07-31
326,326,-ce,nsuf,EQU1," 
",2006-12-19
327,327,cedi,v,name," 
",2009-12-15
328,328,"cek’eryo",n3,sparrow," 
",2009-09-30
329,329,"cek’i",n3,goat.kid," 
",2009-04-17
330,330,"Ceƛ’o",n,Tsetlo,"A kind of place or a region or a village? No idea...",2014-06-25
331,331,cemi,n3,corner," 
",2009-06-08
332,332,cey,n3,eagle,"Dict.: ""ce""",2007-01-10
333,333,cez,n,Tsez,"Might be plural and singular, referring to the people (cf. Razhbadin.006)
",2014-06-25
334,334,ci,n3,name,"""saghaw ci rik'äsi uzhi"" = 'a famous boy' ('a boy whose healthy name went [around]')
",2014-06-25
335,335,cim,n3,malice,"""cim bizi-"" = 'get angry'",2009-08-27
336,336,ciq,n4,forest," 
",2010-05-02
337,337,ciq-beqa,adv,somewhere,"Not in the Dictionary! Real meaning unclear... Arsen: ""les-solnce"", translation: ""pastbishche""
",2014-06-25
338,338,ciq-beqaq,adv,everywhere," 
",2009-12-01
339,339,ciyo,n2,salt," 
",2009-09-02
340,340,codi,v,incite," 
",2013-11-20
341,341,"cołi",n4,unity,"Dict. doesn't have the OBL in ""colhimo-""",2014-05-20
342,342,"cołizi",comp,unite," 
",2009-06-30
