id,to_Text_id,Line_Position,Tsez_Line,English_Translation,Russian_Translation
18,1,18,"Q’orolay žaz idurno yik’in, nesir yiynč’ey neširu ža kecxozo taxeƛno yuqˤełno, ʕenekizi yoqno yičin.","The widow went to the boy's home, without him knowing, and at night hid under his bed while he was sleeping, and listened.","Вдова незаметно подкралась в дом сына богача, спряталась под его кроватью и тихо слушала."
19,1,19,"Uži kecnosi, nesä mušin kurno nełar eƛix teqno:","After the boy went to sleep, she heard him sighing and saying:","Как только сын лег спать, вдова слышала как он вздохнув сказал:"
20,1,20,"“Hemeła maqˤizo ʕaƛasi där moƛał yukayru mesedyos nak’ila yałruni kid yiqinč’inäy di anƛ’imoq’az äxuƛin.”","""Then, if I don't get the girl from the village far away with the golden pinky, that I saw in my dream, I will die in a week.""","«Если я не достану эту девушку из далекого села с золотым мизинцем, то через неделю умру»."
21,1,21,"Sasaqozox žarno yiynč’ey maħorno yoqno, q’orola žaz babiwq esin nesiƛ’ yałru q’ʷariłiłäy.","In the morning, she secretly went outside; the widow told the boy's father of the sadness that was on him.","Утром она незаметно вышла и тут же отправилась к его отцу, чтобы рассказать ему о горе, которое испытывает его сын."
22,1,22,"Q’orol ɣˤanazar bayru q’ut’imoxor šebinno teƛno yegirno.","He gave the widow what was agreed upon and sent her away.","Согласно договору с вдовой, он отдал эту вещь и отпустил её."
23,1,23,"Xizorzo ɣudzał eni-obiw ža kidno k’edin maħor boqno.","During the following days the parents went out to search that girl.","В последующие дни родители вышли в поисках этой девушки."
24,1,24,"Bik’in žedu mesedyos nak’ila yałruni kidbez eniwder bayn.","They went on and came to the mother of the girl with the golden pinky.","Отправились они в путь и пришли к матери той девушки с золотым мизинцем."
25,1,25,"K’emotya kidno yuqˤek’no yičin zown nełas eniw.","The girl's mother locked her away in a chest.","Мать упрятала свою дочь в сундуке от посторонних глаз."
26,1,26,"Xizaɣor esiwz kidbä yiłqor eƛin, yisiq’ay igun, bečedawn deber uži äqinč’i kid xedyox yegirinč’ey min yok’äłinč’iƛin.","Finally the brother's girl said to her that she won't find any man as rich and wealthy, so that the daughter couldn't do anything else than to take him as a husband.","Наконец, племяница ей сказала: «Лучше и богаче него парня ты не найдёшь и дочь не выдать замуж нельзя»."
27,1,27,"Xizaɣor bertenno bodin, kid bečedawni žek’us žax yegirno.","Finally they married and sent the girl to the son of the rich man.","В конце концов сыграли свадьбу и дочь выдали за сына зажиточного человека."
28,1,28,"Boƛƛ’o zaman bik’inosi, kidbä neła nełdaɣor eniw  yižin.","In the meantime, the girl took her mother to her own place.","Не прошло много времени и дочь взяла свою мать к себе."
29,1,29,"Nełƛ’ay soder ža ɣˤanabi xedyoz zulmuqayn yok’ełno, Allahzo ašunoz kumakyoƛaza raħatyoƛ’ zown.","After that, the woman got repose from her husband's tyranny and his beatings with the help of the rainbow.","С тех пор та женщина навсегда избавилась от угнетения мужа и благодаря помощи радуги снискала себе свободу и покой."
30,2,1,"Zownƛax zown anuƛax sis ɣˤanabi.","Once upon a time there was a woman.","Жила-была женщина."
31,2,2,"Neła eƛni netintow ʕaƛoxay maqˤi, qunyox, yoɣxo zown.","She always spent the winter at a farm far away from the village.","Она всега проводила зиму за пределы села, на хуторе."
32,2,3,"Sida quł eƛnoq yaq’ˤu, žek’u maħor oqełxanuzo ħalał, isi yayn.","One day in winter it snowed so hard, that people couldn't even go outside.","Однажды зимой выпал столь много снега, что не возможно было пройти человеку."
33,2,4,"Neširu maħor yoqƛ’orey, didiwƛa, łas yałru riyxanusi riłe qˤaƛu-quy teqno.","In the evening while she was going outside, she heard a noise sounding like someone was there.","И вот в тот вечер, когда она выходила на улицу, услышала какой-то загадочный шум-гам."
34,2,5,"Dahaw aħya kurno yičinosi, yiłar riyn ža ciqez posures qˤaƛu-quy yałrułi.","After perking up her ear a little, she knew it was the noise of wild animals.","Немного послушав, женщина осмыслила, что это шорох диких животных."
35,2,6,"Sasaq maħor yoqzaƛ’or, yiłas ɣˤutku ciqez posurä šet’u rutiräsi resuzaƛ’, neła nasin žedu tataniłanix iduɣor regirno.","The morning when she went outside, the wild animals gathered around her house; she let them into her house, which could be warmthened.","Завтра утром пока она не вышла на улицу, ее дом окружили лесные звери. И она пригласила их в теплый дом, чтобы могли греться."
36,2,7,"Boc’an, zeybin, ɣuro yałza rečuƛ, aɣˤnä teł rišin, aɣbi girimabin kurno idutow xecin, bełis čanyabin, resobin čolow yałza hiɣar regirno.","She drove the wolves and bears into the cowshed where the cows were, erected poles for the birds to give [them] a home, and sent the wild goats and roes into the half-open shed where there was straw.","Затем, волков и медведей она загнала в телятник хлева, где находился домашний скот, птиц решила оставить дома, забив жерди, а диких коз и косулей пустила в сеновал, где лежала салома."
37,2,8,"Sida quł łäƛ’or gulun bižin xizor yutin yedu yayzaƛ’or, nasin yiłas ɣuro zeyzan, boc’än rac’äsi resun.","One day when she came back from leading a horse to a watering place, it turned out that the bears and wolves had eaten up all her cows.","Однажды она отвела коня на водопой, и пока она не вернулась обратно, весь ее скот медведи и волки съели."
38,2,9,"Nediwtow q’ʷariłi bayzaƛ’, dahawtow yuyn ʕiyayn, bisno sis bexora hibon łoxt’a ža bok’xo nasin boc’an, zeybin maħor roxirno.","Because of such a tragedy, she began to cry a little, took a long stick, beated it three times and chased off all the wolves and bears.","После такой трагедии женщина немного заплакала, подобрала одну длиннюю палку и, ударив ее по три раза, всех волков и медведей выдворила на улицу."
39,2,10,"Ixdax, isi yecinosi, nasin ciqes, posu yiła maħor regirno.","In spring, after the snow had thawed, she let all the wild animals out.","Весной, после растаяния снега всех оставшихся диких животных она вывела из дому."
40,2,11,"Boc’ä ɣuron rac’äsi roqzaƛ’, roda šebinon koƛ’inč’ey, yedu ʕaƛaɣor yik’in.","Because the wolves wanted to eat the cows, she didn't know what to do and went into the village.","После того, как волки съели весь домашний скот, не зная что делать, женщина пошла в свое родное село."
41,2,12,"Elor yiłar ɣudes bełiz čanyaza ɣˤay yayrxo rayx zown.","The wild goats were daily coming to bring her milk.","Дикие козы каждый день туда ей приносили молоко."
42,2,13,"Sida quł, ɣudod, maħazayzo ɣuɣaymo yedu moƛaxay č’arik’no.","One day at midnight a noise from far outside woke her up from her sleep.","Однажды вполночь ее разбудил уличный шум."
43,2,14,"Yizin maħorno yoqno yezunosi, ɣuros reqenno bayrno rayäsi, eƛnoq yiłas posu rac’runi boc’an, zeybin resun.","After she got up, went outside and had a look, the wolves and bears that had eaten her cattle in winter, turned up leading a cow herd.","И когда она вышла во двор, то увидела тех волков и медведей, которые съели весь ее домашний скот. Они пришли с повинной и привели стадо коров."
44,2,15,"Ɣˤanazader ɣuron regirno, eluq ħalikataw šebin deber roqsiƛin ƛ’iräy žan yoɣno, nełar q’omexno bodin, roqno žeda žedaz q’aymozaƛ’ar ciqaɣor rik’in.","The cows were sent to the woman, ""We've done something mean to you"", they said; they apologized to her, said farewell to her and began to go towards the forest over their own settlement.","оставили их женщине, просили у нее прщения, что они плохо поступили по отношению к ней и, попрощавшись, ушли в лес, в свои стойбища."
45,2,16,"Nełƛ’ay soder yiłade idu yig, ʕaƛoz xalq’imor teƛanircennan yaq’ˤu ɣˤay yičix zown.","After that, she had so much milk at home that she could give it away to the villagers.","С тех пор у нее дома было столько много молока, что она могла дать его другим жителям села."
46,2,17,"T’ok’ow yedu qunyoxar yik’inč’eytow, paraxat yoqno ʕaƛox yičin.","She didn't go to the farmstead anymore, and found peace near the village.","Она больше не пошла на хутор и безмятежно жила в селе."
47,3,1,"Sis zown xan.","There was a king.","Был один царь."
48,3,2,"Nesis zown łˤono uži.","He had 3 sons.","У него было трое сыновей"
49,3,3,"Boƛƛo sis zaman bik’inosi, xan roƛa utirno.","After a while, the king became sick.","Прошло немного времени и царь начал болеть."
50,3,4,"Nesä žazar wasiyat bodin:","He left his sons his last will:","Он детям завещание оставил,"
51,3,5,"“Dey xexbi, di exun xizyo t’ubazi odin łiynosi, meži łˤonon esnabi bitazoni ɣˤutkar bezu, elo mežur ʕuraw mesed yołƛin”.","""My children, when I have died and the funeral is done, you three brothers look into the next room, there is much gold for you.""","мои дети, после моей смерти и выполнения всех необходимых похоронных процедур, вы, трое братьев, посмотрите в другую комнату, там вы найдете достаточно для себя золота."
52,3,6,"Nełƛ’osi kʷaxatow xan exun.","The king died very soon, then.","После этого, в скором времени царь умер."
53,3,7,"Šuši-t’uħin t’ubazi odin łiynosi, nesis užibi bik’in, babiya bayru wasiyatyoƛ’ req’un, babiws irsi žeda žeduƛ biƛ’zi boda.","After he had been buried and the funeral was done, his sons went away to share their father's heir among themselves in accordance with the legacy.","После похорон его сыновья, согласно завещанию отца, пошли разделить между собой наследство."
54,3,8,"Bitazoni ɣˤutkarno bik’in bezunosi, elo yizir mesedyos q’ˤano saħ besun.","After they went to look into the next room, they found 2 Sah (5 kg) of gold there.","Когда посмотрели в другую комнату, там они нашли два саха (цезская мерка) золота."
55,3,9,"Eženi esiya beɣet’ani esnazaqor eƛin:","The eldest brother said to his younger brothers:","Старший брат младшим братьям сказал,"
56,3,10,"“Dey esnabi, babiya badiru wasiyatyoƛ’ req’un t’o mesedyos łˤono saħ biča bay, amma t’o q’ˤano taraw saħ anu.","""My brothers, according to father's fulfilled legacy, 3 Sah of gold must be here, but here is nothing more than 2 Sah.","мои братья, согласно завещанию отца, здесь должно быть три саха (мерка) золота, но здесь кроме двух саха нет,"
57,3,11,"Sideni saħ ługon boqłin elułäy, sidä bisäsi biča bayxƛin”.","It must be the case that someone of us has taken the other Sah.""","другой сах, должно быть, кто-нибудь из нас взял."
58,3,12,"Oƛƛozoni esiya, di bisäsi anu elay mesedƛin, inkar boyn, hemedurtow eɣenän, xizyogon eženi esiyan ot’ bisno.","The middle brother rejected this, saying that he were not the one who took the gold, and so did the younger brother; after that also the eldest brother rejected it.","Средний брат сказал, что я не взял оттуда золото, также младший, затем и старший."
59,3,13,"“Nedur resunäyƛin, - eƛin eženi esiya, - eli łˤonon xander bik’a bay - ele howlo räy łu mesed bäsrułiƛin”.","""If it turns out this way,"" said the eldest brother, ""we three must go to the king -- there it will be known who has taken the gold.""","Если так, сказал старший брат, мы в втроем должны пойти к царю - вот там будет известно, кто взял золото."
60,3,14,"Neła quł sasaqtow łˤonon esnabi q’ˤač’azin boqno xander bik’in.","On that day in the morning, the three brothers dressed up and went to the king.","На следующий же день, утром, трое братьев подготовившись, пошли к царю."
61,3,15,"Hunix bik’iƛ’orey, žedur ħumukulis ruɣu resun.","While being on their way, they found the hoofprints of a camel.","Идя по дороге, они нашли след верблюда."
62,3,16,"Eženi esiya beɣet’ani esnazaqor eƛin:","The eldest brother said to his younger brothers:","Старший брат младшим братьям сказал,"
63,3,17,"“Howt’aza bitor didiw ħumukuli bäk’iru di biyran mežur retinäy:","If you want, I will find out for you what camel went from there.","если хотите, я узнаю, какой верблюд отсюда пошел:"
64,3,18,"Kut’yoƛ’asi nełas k’onč’u šiqˤono yołƛin”.","Its right foot is lame.","его правая нога была хромая."
65,3,19,"“Ža nediw yałru mi biyrzaƛ’ƛin, - eƛin oƛƛozoni esiya,       - ozurabi didiw yałrugon din riyran.","""After you explained that it is this way"", said the middle brother, ""I will explain, how the eyes are.","Раз ты узнал, что он такой, сказал средний брат, я узнаю какого цвета у него глаза:"
66,3,20,"Nełas keč’oƛ’asi ozuri becono yołƛin”.","Its left eye is blind.""","его левый глаз есть слепой."
67,3,21,"Eɣenigon esiya eƛin:","The youngest brother said:","А младший брат сказал,"
68,3,22,"“Nełaz gugyoƛ’ zawrunigon šebin din riyranƛin:","And I will explain what was on its back:","я  тоже узнаю то, что было у него на спине:"
69,3,23,"Kut’yoƛ’aza puƛ’aza nełaƛ’ nucos sik zown”.","On its right side there was a waterskin with honey.","с правой стороны не нем был бурдюк с медом."
70,3,24,"Howža xabarno boyn, boƛƛo baq’ˤu zaman bik’izaƛ’ortow, yizir taqˤo iłe dandir nexxo žek’u ukayn.","Not much later after that conversation, they saw a man coming towards them.","После этого разговора не прошло много времени, они вдали увидели человека, идущего им навстречу."
71,3,25,"Žedude igor aynosi, salamno teƛno, nesä žeduq esirno:","After he came closer to them, he said hello and asked them:","Подойдя ближе к ним, он поздоровался и спросил у них,"
72,3,26,"“Howt’o hunäza bik’ixnan mežuł ħumukuli c’oxiyäƛin?”","""Did you meet a camel, while you were going along this way?""","вы не встретили вдруг верблюда, идущего по этой дороге."
73,3,27,"Eženi esiya nesiqor eƛin:","The eldest brother said to him:","Старший брат ответил ему,"
74,3,28,"“Ħumukuliƛa bukaynč’u elur, amma nełas sipat debeq esan elaƛin”.","""We didn't see any camel, but we will tell you how it looks.""","верблюда-то мы не видели, но можем обрисовать его."
75,3,29,"“Nedur resunäy, eso huduƛin”, - eƛin nesi žek’a.","""If that's the case, then say so!"", said the man.","Опишите тогда, сказал этот человек."
76,3,30,"Eženi esiya eƛin:","The eldest brother said:","Старший брат спросил,"
77,3,31,"“Debez ħumukulis kut’yoƛ’asi k’onč’u šiqˤono zowwäƛin?”","""Was your camel's right foot lame?""","у твоего верблюда правая нога была хромая."
78,3,32,"“Zowsƛin”, eƛin žek’a.","""It was"", said the man.","Была мол, подтвердил этот человек."
79,3,33,"Oƛƛozoni esiya eƛin:","The middle brother said:","Средний брат спросил,"
80,3,34,"“Debez ħumukulis keč’oƛ’asi ozuri becono zowwäƛin?”","""Was you camel's left eye blind?""","у твоего верблюда левый глаз был ли слепой."
81,3,35,"“Zowsƛin”, eƛin nesä.","""It was"", said he.","Был мол, подтвердил он."
82,3,36,"Eɣenigon esiya eƛin:","The youngest brother said:","Младший брат тоже спросил,"
83,3,37,"“Ħumukuliƛ’ kut’yoƛ’aza puƛ’aza nucos sik zowwäƛin?”","""Was there a waterskin with honey on the camel's right side?""","на верблюде с правой стороны был ли бурдюк меда."
84,3,38,"“Zowsƛin”, nesiƛ’no hemedurtow ža žek’u razi oqno.","""There was"", the man agreed this time as well.","Был мол, с ним тоже согласился этот человек."
85,3,39,"Esnazaq sipat esin łiynosi nesi žek’a eƛin:","After they finished telling him about its appearance, the man said to the brothers:","Как только они закончили описать лицо, этот человек сказал,"
86,3,40,"“Dey ħumukuli bukaynč’uƛinno eƛix meža, nełas c’ik’iw sipatno esix.","""You say that you haven't seen my camel, and you tell me its entire appearance.","вы говорите, что не видели моего верблюда и полностью описываете его,"
87,3,41,"Nełas där maʕna bič’zi boqxanu.","I don't understand what this means.","я не понимаю это."
88,3,42,"Däz pikruxor, meža ža dey ħumukuli bok’k’äsi yoł, dey däqor xizor neƛƛin!”","Methinks, you have stolen my camel, give it back to me!""","По моему мнению, получается, что вы моего верблюда украли, верните мне его."
89,3,43,"Eženi esiya eƛin:","The eldest brother said:","Старший брат сказал, (что)"
90,3,44,"“Debi ħumukuli ela bok’k’äsi anu.","""We didn't steal your camel.","мы не украли твоего верблюда."
91,3,45,"Eluł debi daʕba besunäy, min elude sadaq xander ƛa!”","If you want to have a dispute with us, let's go to the king together!""","Если ты хочешь с нами спорить, тогда пошли вместе с нами к царю."
92,3,46,"“Ik’anƛin”, yedan razi oqno, sadaq elay bitor hunix boqno.","""We will go"", he agreed and all got on their way from there.","Пойду мол, согласился он и вместе оттуда отправились."
93,3,47,"Nasin yizi xan yałru mečoƛ’or bayn.","They all came to the place that belonged to the king.","Все они пришли к месту жительства царя."
94,3,48,"Xanä žedu łˤonon esnabi nesä nesiz iduɣorno bižin paraq’atno boyn, žedude adäz bišʷan ħaƛin ža maħor oqno.","The king invited the three brothers into his home, made an arrangement(?), organized a meal for them and went outside.","Царь пригласил всех трех братье к себе домой, расположил их, поставил перед ним пищу и вышел на улицу."
95,3,49,"Esnabi zawruni ɣˤutkoz madaxor xanä wazir egirno, žeda elo teł badiru xabarno teqerno xizyo nesiq esanix.","The king sent a vizier to the door of the room where the brothers were, to overhear their conversation and to tell him about it afterwards.","К комнате, где находились братья, царь отправляет своего визиря, чтобы подслушать их разговор и потом рассказать ему."
96,3,50,"Ža xan q’ˤuya ɣˤutkaɣorno ik’in nesä nesis ħalt’i boyx ičin.","The king went into the other room and started to do his work.","Тот царь пошел в свою комнату и занимался своими делами."
97,3,51,"Acxor wazir aynosi, nesir eženi esiya eƛix teqno:","When the vizier came to the door, he heard the eldest brother say:","Когда визирь подходил к двери, он слышал о том, что сказал старший брат,"
98,3,52,"“Howsi xaneł laɣes maħ yołƛin”.","""That king smells like a slave.""","этот царь имеет запах раба."
99,3,53,"Oƛƛozogon esiya eƛin:","The middle brother said:","Средний сказал, (что)"
100,3,54,"“Howła reƛił ɣˤʷays maħ yołƛin”.","""This meat smells like dog.""","это мясо пахнет собачьим запахом."
101,3,55,"Eɣenägon eƛix teqno:","And he heard the younger brother say:","Затем слышали младшего, (что)"
102,3,56,"“Howła šadał aqˤuros maħ yołƛin”.","""This wine smells like urine.""","вино пахнет запахом мочи."
103,3,57,"Žedus eƛixosi šebin łiynosi, wazirä ža xabar ik’in xanqo esin.","After they had said these things, the vizier went to the king to tell him about it.","Когда они закончили говорить, визирь пошел и обо всем этом рассказал царю."
104,3,58,"Xanä žedu nesä nesidäɣorno goƛ’in sosi eženi esiwq esirno:","The king called them to himself and first asked the eldest brother:","Царь пригласил их к себе, сперва спросил старшего брата,"
105,3,59,"“Łinaƛ’aza däł laɣes maħ yołƛin mi eƛäƛin?”","""Why did you say that I smell like a slave?""","почему ты сказал, что от меня пахнет запахом раба."
106,3,60,"Nesä žawab teƛno:","He answered:","Он ответил,"
107,3,61,"“Eniwn goƛ’in esir mi, neła deber neł sualyor žawab naƛƛin”.","""Call your mother and ask, she will give you an answer to this question.""","позови свою маму и спроси у нее, она ответит тебе на этот вопрос."
108,3,62,"Xanä eniwn goƛ’in esirno nełaq:","The king called his mother and asked her:","Царь позвал свою маму и спросил у нее,"
109,3,63,"“Eni, bit’un eso mi däq, däł laɣes maħ nazay boqa bayxƛin?”","""Mother, tell me the truth, where does it come from that I smell like a slave?""","мама, скажи мне правду, откуда во мне должен быть запах раба."
110,3,64,"Eniya eƛin:","The mother said:","Мать сказала,"
111,3,65,"“Walla, dey uži, debi babiwn mi iłetow xan zows.","""By God, my son, your father was a king, just like you.","ей богу, мой сын, твой отец тоже был таким же царем, как и ты."
112,3,66,"Sida quł ža t’o ʕaƛay ik’inosi, där žek’ude kecan retin di debez babiwz laɣde kecsi.","One day, after he had left this village, I wanted to sleep with a man, and so I slept with your father's slave.","Однажды, когда он уехал из этого села, мне хотелось побыть с мужчиной, и я поспала с рабом твоего отца."
113,3,67,"Hemełƛ’aza oqno esa beɣula mi laɣes maħ yołäsiƛin”.","That might be why you seem to smell like a slave.""","Может быть, поэтому ты родился запахом раба."
114,3,68,"Oƛƛozo esiwq esirno xanä:","The king asked the middle brother:","Среднего брата спросил царь,"
115,3,69,"“Neł reƛiłer ɣˤʷays maħ nazay baya bayxƛin?”","""Where does the dog's smell in the meat come from?""","откуда может быть собачий запах в этом мясе."
116,3,70,"Nesä eƛin:","He said:","Он сказал, (что)"
117,3,71,"“Ža däƛ’ay rig debeq bˤeƛ’xozoni aħä äsiƛin”.","""The shepherd will tell you more about it than I.""","лучше об этом тебе скажет пастух."
118,3,72,"Goƛ’in aħon, xanä nesiq esirno:","The king called the shepherd and asked him:","Царь позвал пастуха и спросил,"
119,3,73,"“Hemełƛ’o bexayn zawruni ƛelez reƛiłer maħ nazay baya bayxƛin?”","""Where does the smell of this lamb's meat, that has been slaughtered, come from?""","откуда может быть собачий запах в мясе ягненка, которого тогда зарезали."
120,3,74,"Bˤeƛ’xozoni aħozä eƛin:","The shepherd said:","Пастух сказал,"
121,3,75,"“Walla, xan, howža ƛeli bayruntow, nełas eniw bexus.","""By God, o king, right after the lamb was born, its mother died.","ей богу, царь, как только этот ягненок родился, его мать умерла."
122,3,76,"ƛeligon bexa betinč’ey nełaq di čiba xirersi.","I didn't want the lamb to die, so I made a bitch nurse it.","Желая сохранить ягненка живым, я его заставил сосать суку."
123,3,77,"Hemełƛ’az nełas reƛ ɣˤʷays maħ yołäsi roqno räsuƛin”.","This might be why its meat smells like dog.","Может быть, поэтому мясо собачьим запахом пахнет."
124,3,78,"Eɣeni esiwq xanä, däz šadał aqˤuros maħ nazay boqa bayxƛin esirnosi, nesä eƛin:","When the king asked the younger brother, how it came that his wine smells like urine, he said:","Затем, когда царь спросил младшего брата, почему мое вино пахнет запахом мочи, тот сказал, (что)"
125,3,79,"“Goƛ’in ža boyxozo žek’uq esirnäy, nesir rig räyƛin”.","""When you call the one who made the wine and ask him, he will know it better.""","лучше позови и спроси того, кто его делал, он лучше знает."
126,3,80,"Goƛ’in ša boyxozo žek’uq esirnosi, nesä eƛin:","When he called the man who made the wine and asked him, he said:","Когда спросил винодела, он ответил,"
127,3,81,"“Walla xan, di ša bodanix k’udi q’uq’iƛ’orey, elo šet’u butäsi hadambi boqzaƛ’, aqˤu kuča maħorno oqa iynč’ey howlo tełer kučis.","""By God, o king, while I was pressing out the grapes to make the wine, there were people who were walking around there and without me knowing took a piss in there.""","ей богу царь, когда я месил виноград, чтобы готовить вино, там вокруг стояли люди, не самого выйти и вынужден был мочиться туда же внутрь."
128,3,82,"Hudu ža ša aqˤuros maħ yołäsi boqno bäsuƛin”.","So this is how this wine began to smell like urine.""","Наверное поэтому это вино пахнет запахом мочи."
129,3,83,"Xan c’aq’tow ħikmałiłer egin, nece ʕaq’ilaw yizi xexzar didur di diwan bodanƛin.","The king stood still in astonishment about how he could make a judgement for these so intelligent children.","Царь пришел в изумление, как я могу правильно судить таких мудрых ребят."
130,3,84,"Sosi yisä ħumukulis bet’erhanno goƛ’in nesis murad esirnosi, nesä eƛin:","At first he called the owner of the camel and asked what he desired, the owner said:","Сперва он позвал хозяина верблюда и когда спросил о его желании, тот ответил,"
131,3,85,"“Hunix där yizi esnabi c’oxnosi, dey ħumukuli bukaynč’aƛin esirzaƛ’, yizä bukaynč’uƛin ot’ bisxo, amma nełas kinaw sipat biyx yizir.","""After I met these brothers on the way, I asked if they hadn't seen my camel, and they rejected having seen it, but they knew it's entire appearance.","когда этих братьев при встрече я спросил о своем верблюде, они напрочь отказываются, что не видели, но полностью ему описание дают."
132,3,86,"Hudu dey šak bik’ix yizä bok’ek’no bäsuƛin”.","So my suspicion will be that they appear to have stolen it.""","Поэтому я подозреваю их в том, что они его украли."
133,3,87,"Xanä eženi esiwq esirno:","The king asked the eldest brother:","Царь спросил старшего брата,"
134,3,88,"“Deber ža ħumukuli bukayn besunč’inäy, nazay deber nełas kut’yos k’onč’u šiqˤono yałrułi yiyxƛin?”","""If you haven't seen this camel, how do you know that its right foot is lame?""","если ты этого верблюда не видел, откуда ты можешь узнать, что его правая нога хромая."
135,3,89,"Eženi esiya eƛin:","The eldest brother said:","Старший брат сказал, (что)"
136,3,90,"“Där ħumukulis ruɣu hunä resus.","""I found the camel's hoofprints on the way.","по дороге я нашел следы верблюда."
137,3,91,"Nełäz ruɣuƛ’ bercingo xal boyzaƛ’, neła bˤula gibaq bitirxot’a bižin.","When I examined its hoofprints thoroughly, [I saw that] it only touches the dust with one hoof.","Когда я хорошенько приглядел следы, он всего лишь прикасался копытом о пыли."
138,3,92,"Nełƛ’aza di nełas kut’yoƛ’asi k’onč’u šiqˤono yołƛin eƛis”.","This is why I said that its right foot is lame.""","Поэтому я сказал, что его правая нога хромая."
139,3,93,"Oƛƛozo esiwq esirnosi, nesä eƛin:","When he asked the middle brother, this one said:","Когда спросили среднего брата, он сказал, (что)"
140,3,94,"“Neła kut’yoƛ’aza puƛ’azasi gurow bix rac’xo bik’in anu.","""It doesn't go anywhere else than to the right side to eat grass.","он шел, кушая траву только с правой стороны."
141,3,95,"Hudu där riys nełas keč’oƛ’asi ozuri rexasi yałrułiƛin”.","So I knew that it has a left eye that is blind.""","Поэтому мне казалось, что у него правый глаз незрячий."
142,3,96,"Eɣeni esiwq xanä deber łinax riyä kut’yoƛ’aza puƛ’aza nełaƛ’ ƛ’iri nuci zawrułiƛin esirnosi, nesä eƛin:","When the king asked the younger brother, how he knew that it had honey on its right side, he said:","Когда младшего брата царь спросил, как ты узнал, что справа нанем лежит бурдюк меда, он ответил, (что)"
