ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Text_ID,Russian_Translation,Part_of_Speech
1-11,dido1241,"Kid yaq’ˤiłnosi, ʕuraw ʕoloqbi bayx zown žan esirno, amma eniw razi yoqxo zownanu ža sidxokin yegiranix.",kid\ty-aq’ˤił-nosi\tʕuraw\tʕoloq-bi\tb-ay-x\tzow-n\tža-n\tesir-n\tamma\teniw\trazi\ty-oq-x\tzow-n-anu\tža\tsida-x-kin\ty-egir-ani-x,girl\tII-grow.up-ANT.CVB\tmany\tyoung.person-PL\tI.PL-come-IPFV.CVB\tbe.NPRS-PST.UNW\tDEM1.SG-TOP\task-PST.UNW\tbut\tmother\tagree\tII-become-IPFV.CVB\tbe.NPRS-PFV.CVB-NEG\tDEM1.SG\tone.OBL-AD.ESS-even\tII-send-MSD-AD.ESS,"When the girl was grown up, many boys were coming and asked for her hand, but the mother was not content about sending her to any of them.",stan1293,,1,"Когда дочь стала взрослой, много молодых людей приходили просить ее руки, тем не менее мать не соглашалась выдать её за кого-либо.",n2	pref-v-vsuf	adv	n1-nsuf	pref-v-vsuf	v-vsuf	pron-suf	v-vsuf	conj	n2	comp	pref-v-vsuf	v-vsuf-vsuf	pron	num-nsuf-suf	pref-v-deriv-nsuf
1-12,dido1241,Sida maqˤizoni ʕaƛa bečedaw žek’us ɣudƛ’ay ɣudƛ’or ħalaq’ oqxo uži ik’ix zown.,sida\tmaqˤi-zo-ni\tʕaƛ-a\tbečedaw\tžek’u-s\tɣudi-ƛ’ay\tɣudi-ƛ’or\tħalaq’\toq-x\tuži\tik’i-x\tzow-n,one.OBL\tfar.away-ATTR.OBL-DEF\tvillage-IN.ESS\twealthy\tman-GEN1\tday-SUPER.ABL\tday-SUPER.LAT\tmeager\tbecome-IPFV.CVB\tson\tgo-IPFV.CVB\tbe.NPRS-PST.UNW,"In a village far away, a rich man's son was getting thinner day by day.",stan1293,,1,В одном далеком селе сын богатого человека день за днем сохнул.,num	adv-suf-suf	n3-nsuf	adj	n1-nsuf	n4-nsuf	n4-nsuf	adj	v-vsuf	n1	v-vsuf	v-vsuf
1-13,dido1241,"Eni-babiya dicegon esirłin nesä esix zownanu, šida ža ħalaq’ oqxo yałrułi.",eni-babiw-a\tdice-gon\tesir-łin\tnesi-a\tesi-x\tzow-n-anu\tšida\tža\tħalaq’\toq-x\tyoł-rułi,parents-ERG\thow.much-CNTR\task-CNC.CVB\tDEM1.ISG.OBL-ERG\ttell-IPFV.CVB\tbe.NPRS-PST.UNW-NEG\twhy\tDEM1.SG\tmeager\tbecome-IPFV.CVB\tbe-MSD,"No matter how often the parents asked him, he didn't tell them why he was becoming so meager.",stan1293,,1,"Сколько бы родители не упрашивали его, он не рассказал им, о том, почему он так худел.",n1pl-nsuf	pron-suf	v-vsuf	pron-nsuf	v-vsuf	v-vsuf-vsuf	pron	pron	adj	v-vsuf	v-vsuf
1-14,dido1241,"Nesi žaz babiya sidaquł q’orol ɣˤanabin yiqirno nełaq esin, hemedur ɣudƛ’ay ɣudƛ’or dey uži ħalaq’ oqxo ik’ixƛin.",nesi\tuži-z\tbabiw-a\tsidaquł\tq’orol\tɣˤanabi-n\ty-iqir-n\tneła-q\tesi-n\themedur\tɣudi-ƛ’ay\tɣudi-ƛ’or\tdi-s\tuži\tħalaq’\toq-x\tik’i-x-ƛin,DEM1.ISG.OBL\tboy-GEN2\tfather-ERG\tone.day\twidowed\twoman-TOP\tII-find-PFV.CVB\tDEM1.IISG.OBL-POSS.ESS\ttell-PST.UNW\tso\tday-SUPER.ABL\tday-SUPER.LAT\tme-GEN1\tboy\tmeager\tbecome-IPFV.CVB\tgo-PRS-QUOT,One day the boy's father found a widow and told her that his boy is becoming meager day by day.,stan1293,,1,"И вот однажды его отец разыскал вдову и поведал ей о том, что его сын с каждым днем все худеет и худеет.",pron	n1-nsuf	n1-nsuf	adv	adj	n2-suf	pref-v-vsuf	pron-nsuf	v-vsuf	adv	n4-nsuf	n4-nsuf	pron-nsuf	n1	adj	v-vsuf	v-vsuf-suf
1-15,dido1241,Q’orol ɣˤanaza eƛin:,q’orol\tɣˤanabi-a\teƛi-n,widowed\twoman-ERG\tsay-PST.UNW,The widow said:,stan1293,,1,Вдова в ответ сказала:,adj	n2-nsuf	v-vsuf
1-16,dido1241,"“Mi där ukrus šit’u neƛnäy, di iyran ža šida ħalaq’ oqxo yałrułiƛin.”",mi\tdi-r\tukru-s\tšit’u\tneƛ-näy\tdi\tiyr-an\tža\tšida\tħalaq’\toq-x\tyoł-rułi-ƛin,you\tme-LAT\tsilver-GEN1\tplate\tgive-CND.CVB\tme\tfind.out-FUT.DEF\tDEM1.SG\twhy\tmeager\tbecome-IPFV.CVB\tbe-MSD-QUOT,"""When you give me a plate full of silver, I will find out why he is becoming meager.""",stan1293,,1,"«Если ты мне дашь полную золота тарелку, то я узнаю почему он все же с каждым днем худеет».",pron	pron-nsuf	n3-nsuf	n3	v-vsuf	pron	v-vsuf	pron	pron	adj	v-vsuf	v-vsuf-suf
1-17,dido1241,Bečedawni žek’u razi oqno.,bečedaw-ni\tžek’u\trazi\toq-n,wealthy-DEF\tman\tagree\tbecome-PST.UNW,The wealthy man agreed.,stan1293,,1,Богач согласился.,adj-suf	n1	comp	v-vsuf
1-18,dido1241,"Q’orolay žaz idurno yik’in, nesir yiynč’ey neširu ža kecxozo taxeƛno yuqˤełno, ʕenekizi yoqno yičin.",q’orolay\tuži-z\tidu-r-n\ty-ik’i-n\tnesi-r\ty-iy-č’ey\tneširu\tža\tkec-xozo\ttax-ƛ-n\ty-uqˤeł-n\tʕenekizi\ty-oq-n\ty-iči-n,widow\tboy-GEN2\thome-LAT-and\tII-go-PST.UNW\tDEM1.ISG.OBL-LAT\tII-know-NEG.PST.UNW\tat.night\tDEM1.SG\tsleep-PRS.PRT.OBL\tbed-SUB.ESS-TOP\tII-hide-PST.UNW\tlisten\tII-become-PFV.CVB\tII-be-PST.UNW,"The widow went to the boy's home, without him knowing, and at night hid under his bed while he was sleeping, and listened.",stan1293,,1,"Вдова незаметно подкралась в дом сына богача, спряталась под его кроватью и тихо слушала.",n2	n1-nsuf	adv-nsuf-suf	pref-v-vsuf	pron-nsuf	pref-v-vsuf	adv	pron	v-vsuf	n4-nsuf-suf	pref-v-vsuf	comp	pref-v-vsuf	pref-v-vsuf
1-19,dido1241,"Uži kecnosi, nesä mušin kurno nełar eƛix teqno:",uži\tkec-nosi\tnesi-a\tmuši-n\tkur-n\tneła-r\teƛi-x\tteq-n,boy\tsleep-ANT.CVB\tDEM1.ISG.OBL-ERG\tbreath-and\texhale-PFV.CVB\tDEM1.IISG.OBL-LAT\tsay-IPFV.CVB\thear-PST.UNW,"After the boy went to sleep, she heard him sighing and saying:",stan1293,,1,"Как только сын лег спать, вдова слышала как он вздохнув сказал:",n1	v-vsuf	pron-nsuf	n3-suf	v-vsuf	pron-nsuf	v-vsuf	v-vsuf
1-20,dido1241,“Hemeła maqˤizo ʕaƛasi där moƛał yukayru mesedyos nak’ila yałruni kid yiqinč’inäy di anƛ’imoq’az äxuƛin.”,hemeła\tmaqˤi-zo\tʕaƛ-asi\tdi-r\tmoƛu-ł\ty-ukad-ru\tmesed-s\tnak’ila\tyoł-ru-ni\tkid\ty-iqi-č’i-näy\tdi\tanƛ’i-q’az\texu-ƛin,then\tfar.away-ATTR.OBL\tvillage-RES.PRT\tme-LAT\tdream-CONT.ESS\tII-see-PST.PRT\tgold-GEN1\tlittle.finger\tbe-PST.PRT-DEF\tgirl\tII-get-NEG.FUT-CND.CVB\tme\tweek-POSS.ESS.DIST(?)\tdie-QUOT,"""Then, if I don't get the girl from the village far away with the golden pinky, that I saw in my dream, I will die in a week.""",stan1293,,1,"«Если я не достану эту девушку из далекого села с золотым мизинцем, то через неделю умру».",adv	adv-suf	n3-vsuf	pron-nsuf	n2-nsuf	pref-v-vsuf	n3-nsuf	n3	v-vsuf-suf	n2	pref-v-vsuf-vsuf	pron	n4-nsuf	v-suf
1-21,dido1241,"Sasaqozox žarno yiynč’ey maħorno yoqno, q’orola žaz babiwq esin nesiƛ’ yałru q’ʷariłiłäy.",sasaqozox\tuži-r-n\ty-iy-č’ey\tmaħor-n\ty-oq-n\tq’orol\tuži-z\tbabiw-q\tesi-n\tnesi-ƛ’\tyoł-ru\tq’ʷariłi-łay,early.morning\tboy-LAT-TOP\tII-know-NEG.PST.UNW\toutside-TOP\tII-become-PFV.CVB\twidowed\tboy-GEN2\tfather-POSS.ESS\ttell-PFV.CVB\tDEM1.ISG.OBL-SUPER.ESS\tbe-PST.PRT\tsadness-CONT.ABL,"In the morning, she secretly went outside; the widow told the boy's father of the sadness that was on him.",stan1293,,1,"Утром она незаметно вышла и тут же отправилась к его отцу, чтобы рассказать ему о горе, которое испытывает его сын.",adv	n1-nsuf-suf	pref-v-vsuf	adv-suf	pref-v-vsuf	adj	n1-nsuf	n1-nsuf	v-vsuf	pron-nsuf	v-vsuf	n4-nsuf
1-22,dido1241,Q’orol ɣˤanazar bayru q’ut’imoxor šebinno teƛno yegirno.,q’orol\tɣˤanabi-r\tb-odi-ru\tq’ut’i-xor\tšebin-n\tteƛ-n\ty-egir-n,widowed\twoman-LAT\tIII-do-PST.PRT\tagreement-AD.LAT\tthing-TOP\tgive-PFV.CVB\tII-send-PST.UNW,He gave the widow what was agreed upon and sent her away.,stan1293,,1,"Согласно договору с вдовой, он отдал эту вещь и отпустил её.",adj	n2-nsuf	pref-v-vsuf	n3-nsuf	n4-suf	v-vsuf	pref-v-vsuf
1-23,dido1241,Xizorzo ɣudzał eni-obiw ža kidno k’edin maħor boqno.,xizorzo\tɣudi-bi-ł\teni-obiw\tža\tkid-n\tk’edi-n\tmaħor\tb-oq-n,future.OBL\tday-PL-CONT.ESS\tparents\tDEM1.SG\tgirl-TOP\tsearch-PFV.CVB\toutside\tI.PL-become-PST.UNW,During the following days the parents went out to search that girl.,stan1293,,1,В последующие дни родители вышли в поисках этой девушки.,adj	n4-nsuf-nsuf	n1pl	pron	n2-suf	v-vsuf	adv	pref-v-vsuf
1-24,dido1241,Bik’in žedu mesedyos nak’ila yałruni kidbez eniwder bayn.,b-ik’i-n\tžedu\tmesed-s\tnak’ila\tyoł-ru-ni\tkid-z\teniw-der\tb-ay-n,I.PL-go-PST.UNW\tDEM1.IPL.OBL\tgold-GEN1\tlittle.finger\tbe-PST.PRT-DEF\tgirl-GEN2\tmother-APUD.LAT\tI.PL-come-PST.UNW,They went on and came to the mother of the girl with the golden pinky.,stan1293,,1,Отправились они в путь и пришли к матери той девушки с золотым мизинцем.,pref-v-vsuf	pron	n3-nsuf	n3	v-vsuf-suf	n2-nsuf	n2-nsuf	pref-v-vsuf
1-25,dido1241,K’emotya kidno yuqˤek’no yičin zown nełas eniw.,k’emot’-a\tkid-n\ty-uqˤek’-n\ty-iči-n\tzow-n\tneła-s\teniw,wooden.case-IN.ESS\tgirl-TOP\tII-shut-PFV.CVB\tII-be-PFV.CVB\tbe.NPRS-PST.UNW\tDEM1.IISG.OBL-GEN1\tmother,The girl's mother locked her away in a chest.,stan1293,,1,Мать упрятала свою дочь в сундуке от посторонних глаз.,n2-nsuf	n2-suf	pref-v-vsuf	pref-v-vsuf	v-vsuf	pron-nsuf	n2
1-26,dido1241,"Xizaɣor esiwz kidbä yiłqor eƛin, yisiq’ay igun, bečedawn deber uži äqinč’i kid xedyox yegirinč’ey min yok’äłinč’iƛin.",xizaɣor\tesiw-z\tkid-a\tyiła-qor\teƛi-n\tyisi-q’ay\tigu-n\tbečedaw-n\tmi-r\tuži\tiqi-č’i\tkid\txediw-x\ty-egir-č’ey\tmi-n\ty-ok’eł-č’i-ƛin,finally\tbrother-GEN2\tgirl-ERG\tDEM2.IISG.OBL-POSS.LAT\tsay-PST.UNW\tDEM2.ISG.OBL-EQU2\trich-and\twealthy-and\tyou-LAT\tboy\tget-NEG.FUT\tdaughter\thusband-AD.ESS\tII-send-NEG.PST.UNW\tyou-TOP\tII-escape-NEG.FUT-QUOT,"Finally the brother's girl said to her that she won't find any man as rich and wealthy, so that the daughter couldn't do anything else than to take him as a husband.",stan1293,,1,"Наконец, племяница ей сказала: «Лучше и богаче него парня ты не найдёшь и дочь не выдать замуж нельзя».",adv	n1-nsuf	n2-nsuf	pron-nsuf	v-vsuf	pron-nsuf	adj-suf	adj-suf	pron-nsuf	n1	v-vsuf	n2	n1-nsuf	pref-v-vsuf	pron-suf	pref-v-vsuf-suf
1-27,dido1241,"Xizaɣor bertenno bodin, kid bečedawni žek’us žax yegirno.",xizaɣor\tberten-n\tb-odi-n\tkid\tbečedaw-ni\tžek’u-s\tuži-x\ty-egir-n,finally\tmarriage-TOP\tI.PL-do-PFV.CVB\tgirl\twealthy-DEF\tman-GEN1\tson-AD.ESS\tII-send-PST.UNW,Finally they married and sent the girl to the son of the rich man.,stan1293,,1,В конце концов сыграли свадьбу и дочь выдали за сына зажиточного человека.,adv	n3-suf	pref-v-vsuf	n2	adj-suf	n1-nsuf	n1-nsuf	pref-v-vsuf
1-28,dido1241,"Boƛƛ’o zaman bik’inosi, kidbä neła nełdaɣor eniw  yižin.",boƛƛ’o\tzaman\tb-ik’i-nosi\tkid-a\tneła-a\tneła-daɣor\teniw  y-iži-n,middle\ttime\tIII-go-ANT.CVB\tgirl-ERG\tDEM1.IISG.OBL-ERG\tDEM1.IISG.OBL-APUD.VERS\tmotherII-lead-PST.UNW,"In the meantime, the girl took her mother to her own place.",stan1293,,1,Не прошло много времени и дочь взяла свою мать к себе.,adv	n3	pref-v-vsuf	n2-nsuf	pron-nsuf	pron-nsuf	n2    pref-v-vsuf
1-29,dido1241,"Nełƛ’ay soder ža ɣˤanabi xedyoz zulmuqayn yok’ełno, Allahzo ašunoz kumakyoƛaza raħatyoƛ’ zown.",neła-ƛ’ay\tsoder\tža\tɣˤanabi\txediw-z\tzulmu-qay-n\ty-ok’-ł-n\tAllah-zo\tašuni-z\tkumak-ƛaza\traħat-ƛ’\tzow-n,DEM1.IISG.OBL-SUPER.ABL\tafter\tDEM1.SG\twoman\thusband-GEN2\ttyranny-POSS.ABL-and\tII-beat-POT-PFV.CVB\tGod-ATTR.OBL\tbelt-GEN2\thelp-SUB.VERS\trecreation-SUPER.ESS\tbe.NPRS-PST.UNW,"After that, the woman got repose from her husband's tyranny and his beatings with the help of the rainbow.",stan1293,,1,С тех пор та женщина навсегда избавилась от угнетения мужа и благодаря помощи радуги снискала себе свободу и покой.,pron-nsuf	post	pron	n2	n1-nsuf	n3-nsuf-suf	pref-v-vsuf-vsuf	n1-suf	n3-nsuf	n3-nsuf	n3-nsuf	v-vsuf
2-1,dido1241,Zownƛax zown anuƛax sis ɣˤanabi.,zow-n-ƛax\tzow-n\tanu-ƛax\tsis\tɣˤanabi,be.NPRS-PFV.CVB-QUOT\tbe.NPRS-PFV.CVB\tbe.NEG-QUOT\tone\twoman,Once upon a time there was a woman.,stan1293,,2,Жила-была женщина.,v-vsuf-suf	v-vsuf	v-suf	num	n2
2-2,dido1241,"Neła eƛni netintow ʕaƛoxay maqˤi, qunyox, yoɣxo zown.",neła-a\teƛni\tnetin-tow\tʕaƛ-xay\tmaqˤi\tqun-x\ty-oɣ-x\tzow-n,DEM1.IISG.OBL-ERG\twinter\talways-EMPH\tvillage-AD.ABL\tfar.away\tfarmstead-AD.ESS\tII-spend.time-IPFV.CVB\tbe.NPRS-PST.UNW,She always spent the winter at a farm far away from the village.,stan1293,,2,"Она всега проводила зиму за пределы села, на хуторе.",pron-nsuf	n2	adv-suf	n3-nsuf	adv	n4-nsuf	pref-v-vsuf	v-vsuf
2-3,dido1241,"Sida quł eƛnoq yaq’ˤu, žek’u maħor oqełxanuzo ħalał, isi yayn.",sida\tqu-ł\teƛni-q\ty-aq’ˤu\tžek’u\tmaħor\toq-ł-xanuzo\tħalał\tisi\ty-ay-n,one.OBL\tday-CONT.ESS\twinter-POSS.ESS\tII-much\tman\toutside\tbecome-POT-NEG.PRS.PRT.OBL\twith.difficulties\tsnow\tII-come-PST.UNW,"One day in winter it snowed so hard, that people couldn't even go outside.",stan1293,,2,"Однажды зимой выпал столь много снега, что не возможно было пройти человеку.",num	n4-nsuf	n2-nsuf	pref-adv	n1	adv	v-vsuf-vsuf	adv	n2	pref-v-vsuf
2-4,dido1241,"Neširu maħor yoqƛ’orey, didiwƛa, łas yałru riyxanusi riłe qˤaƛu-quy teqno.",neširu\tmaħor\ty-oq-ƛ’oräy\tdidiw-ƛa\tła-s\tyoł-ru\tr-iy-xanusi\tr-iłe\tqˤaƛu-quy\tteq-n,at.night\toutside\tII-become-SIM.CVB\twhich-INDEF\twho.OBL-GEN1\tbe-PST.PRT\tIV-know-NEG.PRS.PRT\tIV-as\tnoise\thear-PST.UNW,"In the evening while she was going outside, she heard a noise sounding like someone was there.",stan1293,,2,"И вот в тот вечер, когда она выходила на улицу, услышала какой-то загадочный шум-гам.",adv	adv	pref-v-vsuf	pron-nsuf	pron-nsuf	v-vsuf	pref-v-vsuf	pref-conj	n4	v-vsuf
2-5,dido1241,"Dahaw aħya kurno yičinosi, yiłar riyn ža ciqez posures qˤaƛu-quy yałrułi.",dahaw\taħya\tkur-n\ty-iči-nosi\tyiła-r\tr-iy-n\tža\tciq-z\tposu-s\tqˤaƛu-quy\tyoł-rułi,a.little\tear\tspread.out-PFV.CVB\tII-be-ANT.CVB\tDEM2.IISG.OBL-LAT\tIV-know-PST.UNW\tDEM1.SG\tforest-GEN2\tcattle-GEN1\tnoise\tbe-MSD,"After perking up her ear a little, she knew it was the noise of wild animals.",stan1293,,2,"Немного послушав, женщина осмыслила, что это шорох диких животных.",adv	n4	v-vsuf	pref-v-vsuf	pron-nsuf	pref-v-vsuf	pron	n4-nsuf	n4-nsuf	n4	v-vsuf
2-6,dido1241,"Sasaq maħor yoqzaƛ’or, yiłas ɣˤutku ciqez posurä šet’u rutiräsi resuzaƛ’, neła nasin žedu tataniłanix iduɣor regirno.",sasaq\tmaħor\ty-oq-zaƛ’or\tyiła-s\tɣˤutku\tciq-z\tposu-a\tšet’u\tr-utir-asi\tr-esu-zaƛ’\tneła-a\tnasin\tžedu\ttatanił-ani-x\tidu-ɣor\tr-egir-n,in.the.morning\toutside\tII-become-POST.CVB\tDEM2.IISG.OBL-GEN1\thouse\tforest-GEN2\tcattle-ERG\taround\tIV-gather-RES.PRT\tIV-appear-CSL.CVB\tDEM1.IISG.OBL-ERG\tall\tDEM1.IPL\twarmthen.oneself-MSD-AD.ESS\thome-IN.ALL\tIV-send-PST.UNW,"The morning when she went outside, the wild animals gathered around her house; she let them into her house, which could be warmthened.",stan1293,,2,"Завтра утром пока она не вышла на улицу, ее дом окружили лесные звери. И она пригласила их в теплый дом, чтобы могли греться.",adv	adv	pref-v-vsuf	pron-nsuf	n4	n4-nsuf	n4-nsuf	post	pref-v-vsuf	pref-v-vsuf	pron-nsuf	adj	pron	v-deriv-nsuf	adv-nsuf	pref-v-vsuf
2-7,dido1241,"Boc’an, zeybin, ɣuro yałza rečuƛ, aɣˤnä teł rišin, aɣbi girimabin kurno idutow xecin, bełis čanyabin, resobin čolow yałza hiɣar regirno.",boc’a-n\tzey-bi-n\tɣuro\tyoł-za\treču-ƛ\taɣˤni-a\tteł\tr-iši-n\taɣi-bi\tgiri-bi-n\tkur-n\tidu-tow\txeci-n\tbełi-s\tčan-bi-n\treso-bi-n\tčolow\tyoł-za\thiɣu-ar\tr-egir-n,wolf.PL-and\tbear-PL-and\tcows\tbe-LCV.CVB\tcattle-shed-SUB.ESS\tcowshed-IN.ESS\tinside\tIV-drive.in-PST.UNW\tbird-PL\tpole-PL-TOP\terect-PFV.CVB\thome-EMPH\tleave-PST.UNW\twild.goat-GEN1\tshe-goat-PL-and\troe-PL-and\tstraw\tbe-LCV\thayloft-IN.LAT\tIV-send-PST.UNW,"She drove the wolves and bears into the cowshed where the cows were, erected poles for the birds to give [them] a home, and sent the wild goats and roes into the half-open shed where there was straw.",stan1293,,2,"Затем, волков и медведей она загнала в телятник хлева, где находился домашний скот, птиц решила оставить дома, забив жерди, а диких коз и косулей пустила в сеновал, где лежала салома.",n3pl-suf	n3-nsuf-suf	n4	v-vsuf	n2-nsuf	n4-nsuf	adv	pref-v-vsuf	n3-nsuf	n4-nsuf-suf	v-vsuf	adv-suf	v-vsuf	n3-nsuf	n3-nsuf-suf	n3-nsuf-suf	n4	v-vsuf	n3-nsuf	pref-v-vsuf
